requests_1m,requests_5m,unique_paths_5m,post_ratio_5m,auth_endpoint_requests_5m,failed_logins_5m,failed_logins_15m,unique_usernames_15m,successful_logins_15m,qr_failures_15m,sensitive_path_probes_15m,suspicious_requests_15m,scanner_events_15m,csrf_failures_15m,method_anomalies_15m,auth_rejections_15m,ban_events_15m,avg_request_interval_5m,ua_changes_15m,off_hours,label
6,12,17,0.509195,2,0,2,2,0,0,2,9,1,1,0,2,0,10.9354,2,0,WEB_ATTACK
10,79,24,0.0333025,0,0,0,2,0,0,6,2,3,0,0,3,1,5.45865,0,0,RECONNAISSANCE
2,4,4,0.271776,0,0,1,1,1,0,0,0,0,0,0,0,0,39.2577,0,0,NORMAL
8,32,7,0.472916,3,0,1,2,2,1,2,15,1,1,0,4,0,5.05403,2,0,WEB_ATTACK
8,63,13,0.49967,0,0,0,1,0,0,0,6,1,6,0,12,0,5.29498,5,0,SESSION_ABUSE
11,26,6,0.586986,16,1,2,1,3,11,0,1,0,1,0,7,1,3.52562,0,0,MFA_ABUSE
5,31,2,0.683362,23,0,1,2,2,13,0,0,0,0,0,3,0,16.4996,1,0,MFA_ABUSE
7,60,35,0.0202007,2,0,1,1,0,0,13,1,3,0,0,0,0,0.991152,3,0,RECONNAISSANCE
12,38,1,0.857518,15,8,26,1,1,0,0,0,0,0,0,4,0,3.4584,1,0,BRUTE_FORCE
11,40,14,0.412955,1,1,2,3,0,0,2,15,2,0,0,8,0,6.62122,1,0,WEB_ATTACK
2,26,17,0.402081,8,0,1,3,2,0,1,15,0,1,0,1,1,7.20323,2,0,WEB_ATTACK
6,34,15,0.688138,6,1,1,2,1,0,3,12,0,2,0,8,0,14.4746,0,1,WEB_ATTACK
7,38,2,0.665093,41,9,42,1,0,0,0,0,0,0,0,14,0,7.67657,0,1,BRUTE_FORCE
13,22,19,0.465814,1,1,2,2,1,0,0,1,0,3,3,13,0,7.76324,7,0,SESSION_ABUSE
7,10,14,0.337747,8,1,1,1,0,0,1,12,1,1,1,7,1,6.35193,0,0,WEB_ATTACK
4,62,51,0.0750749,2,0,0,1,0,0,12,9,2,0,0,0,0,1.38058,2,0,RECONNAISSANCE
9,35,9,0.577326,1,0,1,4,0,0,4,5,0,0,0,3,0,1.48208,0,0,WEB_ATTACK
12,41,42,0.184404,1,0,2,1,0,0,5,4,3,0,1,0,0,5.08169,2,0,RECONNAISSANCE
17,47,4,0.874805,49,13,24,2,0,0,0,1,0,0,0,5,2,1.52226,0,1,BRUTE_FORCE
11,66,3,0.671757,12,16,18,2,0,0,1,0,0,0,0,5,1,5.36147,0,0,BRUTE_FORCE
2,8,2,0.711355,18,2,2,2,1,6,0,0,0,0,0,11,0,10.0198,0,1,MFA_ABUSE
15,54,5,0.700745,13,5,37,26,0,0,0,1,0,0,0,8,0,8.64242,0,0,CREDENTIAL_STUFFING
3,14,15,0.824289,5,1,1,1,0,0,1,9,0,0,1,3,0,11.6769,2,0,WEB_ATTACK
13,44,8,0.368323,9,0,1,1,1,0,0,14,1,0,0,1,0,2.47958,1,1,WEB_ATTACK
5,25,17,0.195299,0,0,1,3,0,0,9,5,1,0,0,2,1,7.18218,3,0,RECONNAISSANCE
7,10,5,0.284187,3,1,1,4,0,0,3,8,0,1,1,1,0,3.25826,2,0,WEB_ATTACK
5,32,44,0.20487,3,0,1,1,0,0,11,2,1,0,2,0,0,2.10829,0,1,RECONNAISSANCE
3,3,3,0.40265,0,0,0,1,1,0,0,0,0,0,0,0,0,22.4833,0,0,NORMAL
18,27,27,0.388631,3,0,0,2,0,0,1,5,1,7,3,15,0,8.22887,2,0,SESSION_ABUSE
10,10,15,0.822418,1,1,1,1,0,1,4,11,0,0,0,8,0,13.3323,3,1,WEB_ATTACK
3,29,28,0.0452131,4,0,2,1,0,0,7,7,0,0,0,0,1,1.25506,3,0,RECONNAISSANCE
12,63,9,0.393341,1,0,0,2,0,1,0,2,0,7,3,15,0,7.77286,6,1,SESSION_ABUSE
11,61,4,0.861144,18,20,53,1,0,0,0,0,0,0,0,9,1,7.85258,0,0,BRUTE_FORCE
10,42,15,0.472602,0,0,1,3,0,0,0,1,1,5,2,11,0,10.6921,6,0,SESSION_ABUSE
6,27,11,0.499921,1,1,1,4,0,0,3,13,0,0,0,6,0,5.19132,3,0,WEB_ATTACK
11,72,2,0.864757,22,10,38,2,0,0,0,0,0,0,1,13,1,3.59504,0,0,BRUTE_FORCE
1,6,4,0.12088,0,0,0,1,1,0,0,0,0,0,0,0,0,47.3808,0,0,NORMAL
14,42,23,0.0348631,4,0,1,1,0,0,17,9,2,0,1,0,1,3.81989,1,1,RECONNAISSANCE
21,25,1,0.986944,37,13,12,3,0,0,0,0,0,0,0,17,0,1.97563,0,0,BRUTE_FORCE
12,17,16,0.700189,0,0,2,2,0,0,0,5,0,1,0,3,0,8.90822,1,0,WEB_ATTACK
6,61,11,0.353378,0,0,1,1,1,1,0,1,0,4,0,6,0,10.8715,3,0,SESSION_ABUSE
21,66,4,0.796543,50,15,41,3,0,0,0,0,0,1,0,6,0,3.55676,0,1,BRUTE_FORCE
11,68,27,0.177775,7,0,1,1,0,0,1,1,0,6,2,10,0,8.98376,3,1,SESSION_ABUSE
0,11,1,0.234963,0,0,0,1,2,0,0,0,0,0,0,0,0,26.9939,0,0,NORMAL
2,7,4,0.248509,0,0,1,1,2,0,0,0,0,0,0,0,0,41.9479,0,0,NORMAL
9,51,5,0.757831,12,8,23,13,1,0,0,0,0,0,0,15,1,5.45275,4,1,CREDENTIAL_STUFFING
12,37,15,0.547275,0,0,0,1,1,0,1,13,0,0,0,5,0,7.77017,2,1,WEB_ATTACK
11,21,5,0.748631,11,4,27,21,0,0,0,0,0,1,0,7,0,13.4396,1,0,CREDENTIAL_STUFFING
7,40,4,0.954856,38,20,34,2,0,0,0,0,0,0,0,11,0,9.72365,0,1,BRUTE_FORCE
9,52,24,0.0235472,1,0,2,2,0,0,17,9,2,0,0,1,0,2.62557,1,1,RECONNAISSANCE
7,21,3,0.811396,22,1,2,2,1,13,0,0,0,0,0,9,0,15.2029,0,0,MFA_ABUSE
15,38,6,0.592938,44,11,30,10,1,1,0,0,1,0,0,14,0,3.66147,4,0,CREDENTIAL_STUFFING
16,16,17,0.211922,6,1,0,2,1,0,0,1,2,8,1,12,0,9.94374,7,1,SESSION_ABUSE
10,41,57,0.192872,1,1,1,1,0,0,13,4,3,0,1,0,0,1.18655,3,0,RECONNAISSANCE
8,25,33,0.0690328,5,1,0,1,0,0,7,9,3,0,2,0,0,2.52604,3,0,RECONNAISSANCE
13,57,10,0.412493,0,0,1,3,0,0,1,4,0,8,3,13,0,11.2817,4,0,SESSION_ABUSE
1,5,5,0.107957,0,0,0,1,0,0,0,0,0,0,0,0,0,45.7756,0,0,NORMAL
17,38,4,0.679761,39,10,29,1,0,0,0,0,0,1,0,12,1,5.98347,0,0,BRUTE_FORCE
2,9,9,0.105042,0,0,0,1,0,0,0,0,0,0,0,0,0,47.7169,0,0,NORMAL
11,47,16,0.246391,0,0,0,2,1,1,1,3,1,2,1,6,0,6.13209,6,1,SESSION_ABUSE
10,62,30,0.0947751,4,1,0,1,0,0,15,9,2,0,1,0,1,7.23118,0,0,RECONNAISSANCE
12,52,12,0.312816,5,0,1,3,1,0,0,3,1,2,3,13,0,7.77999,7,0,SESSION_ABUSE
11,59,1,0.704583,19,18,51,3,0,0,0,0,0,1,0,12,0,8.48139,0,0,BRUTE_FORCE
7,25,11,0.563905,6,1,3,2,0,0,4,4,0,0,0,7,0,13.9293,3,0,WEB_ATTACK
6,31,4,0.619207,7,2,2,3,1,0,2,8,1,0,0,8,1,13.0249,3,1,WEB_ATTACK
14,29,29,0.0518394,0,0,2,1,0,0,15,8,2,0,1,0,0,2.06713,3,1,RECONNAISSANCE
20,70,4,0.842886,43,20,26,1,1,1,0,0,0,1,0,11,1,9.15605,1,1,BRUTE_FORCE
13,38,15,0.650652,0,0,1,1,0,0,4,4,1,1,1,8,0,11.4207,3,1,WEB_ATTACK
11,40,1,0.679977,37,11,29,1,0,0,0,0,0,0,1,4,1,3.71194,0,0,BRUTE_FORCE
13,47,1,0.992143,40,9,20,1,0,0,0,0,0,0,0,7,0,6.83529,0,1,BRUTE_FORCE
4,25,13,0.20899,2,0,1,2,1,0,1,4,0,6,3,7,1,5.9964,3,1,SESSION_ABUSE
1,11,4,0.131932,0,0,1,1,1,0,0,0,0,0,0,0,0,52.0495,0,1,NORMAL
4,12,2,0.179929,0,0,0,1,1,0,0,0,0,0,0,0,0,44.5479,0,0,NORMAL
1,14,4,0.309558,1,0,0,1,0,0,0,0,0,0,0,0,0,39.1041,0,0,NORMAL
12,55,5,0.637287,25,11,33,15,0,0,0,0,0,1,0,10,0,9.30646,3,1,CREDENTIAL_STUFFING
7,23,36,0.0900542,1,0,1,1,0,0,7,7,2,0,1,0,0,4.08401,1,0,RECONNAISSANCE
12,38,12,0.544548,9,1,1,2,0,0,3,4,0,1,0,6,0,12.3014,0,0,WEB_ATTACK
13,56,17,0.222786,1,0,0,2,0,0,1,6,0,6,3,8,1,1.67906,7,1,SESSION_ABUSE
11,54,52,0.0117087,0,0,0,1,0,0,5,2,1,0,1,1,0,3.83892,3,1,RECONNAISSANCE
6,38,5,0.852343,37,6,16,15,0,1,0,1,0,0,0,6,0,5.80775,1,1,CREDENTIAL_STUFFING
8,8,2,0.721456,22,1,1,3,2,15,0,0,0,0,0,5,0,16.1122,0,1,MFA_ABUSE
5,16,12,0.736029,2,1,1,4,0,0,0,8,1,0,1,6,0,4.25749,1,1,WEB_ATTACK
12,65,3,0.689428,22,10,51,3,0,0,0,0,1,0,0,17,1,4.58759,0,0,BRUTE_FORCE
5,12,10,0.61753,4,0,1,4,0,1,2,10,0,1,1,4,0,4.17649,1,1,WEB_ATTACK
6,27,2,0.480592,23,1,1,3,2,5,0,1,0,0,0,6,0,12.6521,0,1,MFA_ABUSE
13,51,5,0.904545,16,4,28,17,0,0,0,0,0,0,0,12,0,5.15776,0,0,CREDENTIAL_STUFFING
0,9,4,0.349059,3,0,0,1,1,0,0,0,0,0,0,0,0,46.1094,0,0,NORMAL
12,15,19,0.339056,0,0,1,2,1,0,1,3,1,2,0,9,0,2.91704,2,0,SESSION_ABUSE
18,28,4,0.90429,14,12,14,3,0,0,0,1,0,0,0,16,0,6.15197,0,0,BRUTE_FORCE
1,13,6,0.399093,0,0,0,1,0,0,0,0,0,0,0,0,0,35.646,0,0,NORMAL
6,75,55,0.111661,4,1,0,1,0,0,4,7,2,0,1,0,0,6.74187,2,0,RECONNAISSANCE
18,61,5,0.85284,32,10,31,20,1,0,0,0,0,0,0,14,0,2.33965,0,1,CREDENTIAL_STUFFING
10,40,10,0.674638,9,0,3,3,0,0,1,8,0,1,0,7,0,4.58792,3,0,WEB_ATTACK
14,54,39,0.226278,0,1,0,1,0,0,17,1,1,0,0,0,0,0.764808,1,0,RECONNAISSANCE
20,56,4,0.802308,25,10,20,3,0,0,0,0,0,1,1,11,0,6.99133,0,1,BRUTE_FORCE
13,48,27,0.240343,0,0,0,1,0,0,17,9,1,0,0,0,0,5.78925,3,1,RECONNAISSANCE
8,30,2,0.959952,22,16,27,2,0,0,0,0,0,1,0,12,1,3.42467,0,0,BRUTE_FORCE
12,58,55,0.10304,0,0,0,1,0,0,7,7,2,0,1,1,1,2.28163,2,0,RECONNAISSANCE
19,22,2,0.781021,52,8,20,1,0,0,0,0,0,0,0,7,0,7.60803,0,1,BRUTE_FORCE
14,48,23,0.105508,5,0,0,2,0,0,15,7,1,0,0,2,0,2.23944,2,1,RECONNAISSANCE
11,8,16,0.301589,6,0,0,2,0,0,0,6,1,1,0,5,1,11.2119,3,0,WEB_ATTACK
18,56,22,0.400807,1,0,0,2,0,0,1,3,0,2,3,4,0,5.12298,2,0,SESSION_ABUSE
3,7,6,0.0608502,1,0,0,1,2,0,0,0,0,0,0,0,0,31.4444,0,0,NORMAL
2,11,2,0.00253801,1,0,0,1,1,0,0,0,0,0,0,0,0,29.3861,0,0,NORMAL
20,55,4,0.783626,53,13,44,3,0,0,0,0,0,0,0,7,0,2.6733,0,1,BRUTE_FORCE
13,55,5,0.632711,23,7,25,8,0,1,0,0,0,0,0,10,0,12.4075,3,1,CREDENTIAL_STUFFING
5,27,13,0.363884,1,0,0,1,1,0,0,1,0,5,0,8,0,2.11967,4,1,SESSION_ABUSE
4,67,7,0.156757,3,1,1,2,0,0,0,3,0,8,1,9,0,11.7594,6,0,SESSION_ABUSE
15,35,4,0.905605,40,10,20,9,0,0,0,0,0,1,0,10,0,3.8933,3,0,CREDENTIAL_STUFFING
13,23,3,0.847439,37,18,25,2,1,0,0,0,0,0,0,13,1,3.60232,0,1,BRUTE_FORCE
0,15,6,0.199531,1,0,0,1,1,1,0,0,0,0,0,0,0,68.0025,0,0,NORMAL
2,31,4,0.449826,2,1,0,1,0,0,4,6,1,0,0,6,0,3.50932,3,1,WEB_ATTACK
1,11,3,0.345926,1,0,1,1,1,0,0,0,0,0,0,0,0,67.2553,0,0,NORMAL
13,25,11,0.620256,4,1,0,2,0,0,4,13,1,0,1,7,0,9.08263,2,0,WEB_ATTACK
4,12,5,0.233304,0,0,0,1,0,0,0,0,0,0,0,0,0,13.0694,0,0,NORMAL
14,27,10,0.649109,2,0,3,1,0,0,2,9,2,0,0,2,0,8.00525,3,0,WEB_ATTACK
0,18,3,0.183604,0,0,1,1,0,0,0,0,0,0,0,0,0,41.2104,0,0,NORMAL
3,8,2,0.17675,0,0,0,1,0,0,0,0,0,0,0,0,0,64.8523,0,0,NORMAL
20,29,2,0.796108,37,21,31,1,0,1,1,0,0,0,0,13,0,1.53054,0,0,BRUTE_FORCE
3,25,25,0.360355,5,0,0,2,0,1,0,5,1,7,4,5,0,3.50388,3,1,SESSION_ABUSE
11,29,3,0.76824,14,0,2,2,1,16,0,0,0,0,0,6,0,7.9184,0,1,MFA_ABUSE
8,34,5,0.274301,7,0,2,3,0,0,4,9,1,0,1,4,1,14.3573,1,0,WEB_ATTACK
10,24,2,0.684722,39,6,31,14,0,0,0,0,0,0,0,9,1,12.9415,0,0,CREDENTIAL_STUFFING
11,23,1,0.673761,12,15,53,1,0,0,0,0,0,0,0,5,2,3.42747,0,0,BRUTE_FORCE
15,52,5,0.825297,11,3,25,18,0,0,0,0,0,0,0,12,0,7.44121,3,0,CREDENTIAL_STUFFING
17,29,6,0.755726,20,6,13,17,1,0,0,0,0,0,0,10,0,13.9372,0,0,CREDENTIAL_STUFFING
13,18,22,0.157127,3,0,1,1,0,0,11,5,1,0,1,0,0,5.83795,3,0,RECONNAISSANCE
7,39,56,0.205595,5,0,1,1,0,0,9,1,1,0,0,0,0,0.478548,2,0,RECONNAISSANCE
9,61,4,0.734171,12,16,42,2,0,0,0,0,0,0,0,4,2,3.92506,0,1,BRUTE_FORCE
4,41,12,0.626654,1,0,1,1,1,0,3,15,1,1,0,5,0,14.749,0,1,WEB_ATTACK
14,53,3,0.550051,42,13,25,9,1,0,0,0,0,1,0,11,0,3.3032,4,0,CREDENTIAL_STUFFING
1,6,4,0.250172,0,0,0,1,2,1,0,0,0,0,0,0,0,38.2543,0,0,NORMAL
8,15,7,0.546108,22,0,2,1,2,14,0,0,0,0,0,3,0,3.48319,0,1,MFA_ABUSE
6,34,14,0.583906,9,1,1,4,0,0,1,6,1,1,1,8,0,4.56422,2,1,WEB_ATTACK
8,41,5,0.907614,44,4,29,12,0,1,0,1,0,0,0,11,1,3.87631,2,0,CREDENTIAL_STUFFING
13,24,11,0.1861,2,0,1,2,0,0,0,6,1,7,4,6,1,4.13076,2,0,SESSION_ABUSE
15,30,2,0.663572,53,13,44,2,1,0,0,0,0,0,0,3,0,3.82592,0,0,BRUTE_FORCE
4,7,3,0.0984187,0,0,0,1,1,0,0,0,0,0,0,0,0,65.1201,0,1,NORMAL
13,22,1,0.71665,23,20,16,3,0,0,0,0,1,0,0,3,0,7.251,0,1,BRUTE_FORCE
3,16,16,0.267066,3,1,1,2,0,0,4,9,2,0,1,3,0,12.7574,0,1,WEB_ATTACK
14,58,22,0.19125,4,0,0,1,0,0,7,4,3,0,0,0,0,5.76855,0,0,RECONNAISSANCE
3,36,10,0.171132,0,0,0,1,1,0,0,5,0,2,4,15,0,2.09245,3,0,SESSION_ABUSE
6,42,8,0.428319,3,0,1,1,1,0,0,7,0,0,0,3,0,6.52359,0,0,WEB_ATTACK
14,46,2,0.808692,52,16,54,1,1,0,0,1,0,0,0,13,1,3.18873,0,1,BRUTE_FORCE
13,49,16,0.260431,7,0,0,3,1,0,0,7,0,7,0,4,0,1.5262,6,1,SESSION_ABUSE
14,38,1,0.798895,47,12,30,3,1,0,0,0,1,0,0,16,2,1.79988,0,1,BRUTE_FORCE
2,12,3,0.132927,0,0,2,1,0,0,0,0,0,0,0,0,0,45.6623,0,0,NORMAL
13,32,2,0.948523,23,8,32,18,0,0,0,0,0,0,0,9,0,4.2027,3,0,CREDENTIAL_STUFFING
15,59,2,0.715709,35,14,54,2,0,1,0,0,0,0,0,14,0,9.60622,0,0,BRUTE_FORCE
5,10,16,0.378381,8,0,1,4,0,0,3,4,2,1,1,3,0,2.61779,3,0,WEB_ATTACK
2,7,7,0.23629,0,0,0,1,0,0,0,0,0,0,0,0,0,58.763,0,1,NORMAL
10,41,6,0.757573,18,6,23,20,1,0,0,0,0,0,0,8,0,13.7761,3,0,CREDENTIAL_STUFFING
10,46,29,0.0435147,5,0,0,1,0,0,11,7,2,0,0,0,0,4.20789,0,0,RECONNAISSANCE
12,18,8,0.68824,9,0,3,4,0,0,0,8,1,0,0,4,0,12.0759,3,0,WEB_ATTACK
12,29,17,0.28674,4,1,1,1,0,1,0,8,0,0,0,1,0,13.6016,1,1,WEB_ATTACK
9,21,5,0.856834,14,1,1,1,1,10,0,0,0,0,0,6,0,17.6655,0,0,MFA_ABUSE
15,39,23,0.319272,7,0,1,3,0,0,0,4,1,3,4,6,0,11.246,3,1,SESSION_ABUSE
0,9,9,0.306204,0,0,1,1,0,0,0,0,0,0,0,0,0,71.2853,0,0,NORMAL
13,74,47,0.0577638,4,0,1,1,0,0,16,6,2,0,0,1,0,3.47066,3,1,RECONNAISSANCE
5,36,4,0.865437,21,0,3,3,2,17,0,0,0,0,0,2,0,12.3162,0,0,MFA_ABUSE
0,7,5,0.638296,0,1,0,1,0,1,0,0,0,0,0,0,0,62.5414,0,0,NORMAL
17,60,2,0.761374,20,14,38,1,0,0,0,0,1,1,0,14,1,6.52748,1,0,BRUTE_FORCE
13,39,5,0.79549,26,14,15,27,0,1,0,0,0,0,0,15,0,13.1553,3,1,CREDENTIAL_STUFFING
16,78,34,0.24852,3,1,0,1,0,0,16,4,1,0,1,1,0,4.81297,3,1,RECONNAISSANCE
3,17,5,0.535057,23,1,4,2,1,16,0,0,0,0,0,6,0,9.76172,1,0,MFA_ABUSE
6,20,4,0.460451,11,0,3,1,3,14,0,0,0,0,0,5,0,16.4038,0,1,MFA_ABUSE
11,31,5,0.566654,19,1,0,2,1,10,0,0,0,0,0,6,0,16.8722,0,1,MFA_ABUSE
11,20,3,0.623541,13,0,1,3,1,9,0,1,0,0,0,9,0,3.2554,0,1,MFA_ABUSE
7,33,3,0.603413,23,1,2,2,2,7,0,0,0,0,0,5,0,5.93588,0,0,MFA_ABUSE
13,48,5,0.671019,19,5,18,14,0,0,0,0,0,1,1,14,0,7.34833,0,0,CREDENTIAL_STUFFING
7,14,6,0.818254,19,0,1,3,2,12,0,0,0,0,0,5,1,5.40741,0,1,MFA_ABUSE
3,41,9,0.396958,6,1,1,2,0,0,1,7,1,0,2,3,0,10.6143,0,0,WEB_ATTACK
7,24,26,0.0818115,4,0,2,1,0,0,10,7,3,0,1,1,0,6.31468,1,0,RECONNAISSANCE
15,78,49,0.121311,3,1,0,2,0,0,6,1,3,0,1,0,0,6.3231,3,0,RECONNAISSANCE
7,23,1,0.70871,23,19,50,2,0,0,0,1,1,0,0,17,0,3.05911,0,1,BRUTE_FORCE
1,5,5,0.0660858,0,1,0,1,1,0,0,0,0,0,0,0,0,41.1116,0,0,NORMAL
18,52,6,0.849018,31,10,17,9,0,0,0,0,0,1,0,7,1,7.89365,0,0,CREDENTIAL_STUFFING
2,12,16,0.378776,2,3,2,1,0,0,0,6,1,0,0,6,1,3.08505,2,1,WEB_ATTACK
2,8,5,0.327317,0,0,0,1,0,1,0,0,0,0,0,0,0,52.4471,0,0,NORMAL
10,41,6,0.558418,41,3,15,13,0,0,0,0,0,0,0,4,0,3.04573,1,0,CREDENTIAL_STUFFING
15,58,2,0.749413,12,9,33,8,1,0,0,1,0,1,0,10,0,3.44751,0,0,CREDENTIAL_STUFFING
18,31,6,0.725587,41,4,16,10,1,0,0,0,0,0,0,5,0,4.55331,1,0,CREDENTIAL_STUFFING
1,9,9,0.266587,2,0,1,1,1,0,0,0,0,0,0,0,0,27.1897,0,1,NORMAL
6,26,7,0.623524,7,0,1,2,2,16,0,1,0,0,0,4,1,4.63682,0,0,MFA_ABUSE
6,31,24,0.140529,4,0,1,1,0,0,14,6,2,0,0,0,0,6.04718,3,0,RECONNAISSANCE
8,32,3,0.751805,36,7,22,16,0,1,0,0,0,1,0,5,0,9.15832,4,0,CREDENTIAL_STUFFING
8,53,13,0.376891,3,0,2,2,0,0,1,3,0,4,2,13,0,7.88573,6,1,SESSION_ABUSE
5,26,13,0.67522,3,0,1,4,0,0,2,7,1,0,1,4,0,13.7811,0,0,WEB_ATTACK
19,46,3,0.787104,45,14,53,2,1,1,0,0,0,1,0,7,0,0.851292,1,0,BRUTE_FORCE
1,8,1,0.198361,0,0,0,1,0,0,0,0,0,0,0,0,0,53.0644,0,1,NORMAL
3,10,3,0.220271,0,0,0,1,1,0,0,0,0,0,0,0,0,61.8447,0,0,NORMAL
4,6,3,0.299896,1,0,0,1,1,0,0,0,0,0,0,0,0,26.7054,0,1,NORMAL
2,5,1,0.392185,0,0,0,1,0,0,0,0,0,0,0,0,0,15.2544,0,0,NORMAL
14,23,5,0.41722,7,0,1,3,0,0,3,10,0,0,1,3,0,2.62027,1,0,WEB_ATTACK
10,69,4,0.826173,22,9,19,2,0,0,0,0,0,0,0,13,1,0.742157,1,1,BRUTE_FORCE
3,12,5,0.051855,0,0,1,1,1,0,0,0,0,0,0,0,0,44.9626,0,0,NORMAL
13,39,22,0.321186,7,0,0,2,1,0,0,6,0,6,3,10,0,6.46105,5,0,SESSION_ABUSE
15,48,16,0.220449,2,0,0,1,1,0,2,5,0,3,2,13,0,4.29862,5,1,SESSION_ABUSE
3,24,35,0.229362,5,0,0,1,0,0,5,2,1,0,1,2,0,3.43368,1,1,RECONNAISSANCE
3,8,3,0.215136,2,1,0,2,1,1,0,0,0,0,0,0,0,51.0874,0,0,NORMAL
7,38,12,0.261845,5,0,3,1,0,0,0,5,0,0,1,4,0,11.8546,2,1,WEB_ATTACK
7,31,4,0.586929,27,13,35,11,0,0,0,0,0,0,0,15,0,4.63751,4,1,CREDENTIAL_STUFFING
6,8,11,0.32662,3,2,3,2,1,0,1,12,0,0,1,6,0,7.95605,0,0,WEB_ATTACK
13,33,21,0.26346,3,0,1,2,0,1,1,6,0,8,3,9,0,3.85593,3,0,SESSION_ABUSE
21,34,4,0.663712,39,21,31,1,0,0,0,0,0,0,0,4,0,9.19395,1,1,BRUTE_FORCE
15,47,3,0.593425,14,14,28,8,0,1,0,0,0,0,0,6,0,11.2,1,0,CREDENTIAL_STUFFING
15,64,4,0.993317,47,11,27,1,0,0,0,0,0,0,0,10,1,9.97177,1,1,BRUTE_FORCE
9,47,6,0.623757,38,6,27,27,1,1,0,0,0,0,0,14,0,6.80876,0,0,CREDENTIAL_STUFFING
17,26,4,0.818257,21,5,29,25,0,1,0,1,0,0,0,5,0,13.5448,1,0,CREDENTIAL_STUFFING
14,56,32,0.0909104,0,1,1,2,0,0,11,9,2,0,0,0,0,5.27322,0,1,RECONNAISSANCE
13,67,2,0.884844,25,12,22,2,0,0,0,0,0,1,0,13,1,9.48355,0,0,BRUTE_FORCE
3,79,56,0.111516,5,0,0,1,0,0,10,1,2,0,1,1,0,3.91829,1,0,RECONNAISSANCE
12,26,30,0.0209683,0,0,1,1,0,0,14,3,2,0,0,0,0,2.15979,1,1,RECONNAISSANCE
5,12,3,0.861094,6,2,0,3,3,14,0,0,0,0,0,11,0,3.17366,0,1,MFA_ABUSE
9,36,8,0.401811,7,1,0,4,0,0,0,4,1,1,2,4,0,9.45413,3,1,WEB_ATTACK
4,56,8,0.221727,0,0,1,1,0,1,0,7,0,3,3,7,0,10.5756,2,0,SESSION_ABUSE
1,4,1,0.136873,1,0,0,1,0,0,0,0,0,0,0,0,0,20.0642,0,1,NORMAL
15,43,24,0.161592,3,1,0,1,0,0,12,9,3,0,0,0,0,2.66812,3,0,RECONNAISSANCE
16,39,1,0.869602,15,15,45,3,0,0,0,0,0,0,0,10,1,9.30952,1,1,BRUTE_FORCE
17,22,9,0.496689,2,0,1,2,1,0,0,6,1,6,1,8,1,9.58924,6,0,SESSION_ABUSE
